site,date,time,site_lat,site_lon,chime_diatoms_ug_per_l,chime_cyanobacteria_ug_per_l,chime_others_ug_per_l,lstm_lswt_c,s2_chl_ug_per_l,s2_tur_mg_per_l,s2_cdom_1_per_m,s3_chl_ug_per_l,s3_tur_mg_per_l,s3_cdom_1_per_m,diatoms_ug_per_l,cyanobacterial_ug_per_l,others_ug_per_l
berlin_muggelsee_IOP_daily_v0.3,2023-01-02,2023-01-02 12:00:00,52.437300000000015,13.647400000000005,1.04,0.0231275052036871,0.2368724947963129,2.1230000000000007,1.3,2.0,0.3601756323321787,1.3,2.0,0.3601756323321787,1.04,0.0231275052036871,0.2368724947963129
berlin_muggelsee_IOP_daily_v0.3,2023-01-03,2023-01-03 12:00:00,52.437300000000015,13.647400000000005,1.0522371813496816,0.0235518095886898,0.2305145851358951,2.5167414693433843,1.3063035760742665,1.928174934385357,0.3610843875166714,1.3063035760742665,1.928174934385357,0.3610843875166714,1.0522371813496816,0.0235518095886898,0.2305145851358951
berlin_muggelsee_IOP_daily_v0.3,2023-01-04,2023-01-04 12:00:00,52.437300000000015,13.647400000000005,1.0648420921580202,0.0239294567261025,0.2248099114509022,2.903202755018845,1.3135814603350249,1.8599708591154007,0.36177706504822,1.3135814603350249,1.8599708591154007,0.36177706504822,1.0648420921580202,0.0239294567261025,0.2248099114509022
berlin_muggelsee_IOP_daily_v0.3,2023-01-05,2023-01-05 12:00:00,52.437300000000015,13.647400000000005,1.078050983160475,0.0242029064814735,0.2205460513896966,3.27510367335846,1.322799941031645,1.7990087645348207,0.3620375872738802,1.322799941031645,1.7990087645348207,0.3620375872738802,1.078050983160475,0.0242029064814735,0.2205460513896966
berlin_muggelsee_IOP_daily_v0.3,2023-01-06,2023-01-06 12:00:00,52.437300000000015,13.647400000000005,1.092111990695048,0.0243131593370811,0.2185332015788137,3.625164040694306,1.334958351610943,1.748909640988303,0.3616498765407079,1.334958351610943,1.748909640988303,0.3616498765407079,1.092111990695048,0.0243131593370811,0.2185332015788137
berlin_muggelsee_IOP_daily_v0.3,2023-01-07,2023-01-07 12:00:00,52.437300000000015,13.647400000000005,1.1072867373877913,0.0242029064814735,0.2196175012973056,3.94610367335846,1.3511071451665704,1.7132944788205349,0.3603978551957588,1.3511071451665704,1.7132944788205349,0.3603978551957588,1.1072867373877913,0.0242029064814735,0.2196175012973056
berlin_muggelsee_IOP_daily_v0.3,2023-01-08,2023-01-08 12:00:00,52.437300000000015,13.647400000000005,1.1238525363193623,0.0238209438462824,0.2247006411220884,4.230642387682999,1.3723741212877332,1.695784268376205,0.3580654455860889,1.3723741212877332,1.695784268376205,0.3580654455860889,1.1238525363193623,0.0238209438462824,0.2247006411220884
berlin_muggelsee_IOP_daily_v0.3,2023-01-09,2023-01-09 12:00:00,52.437300000000015,13.647400000000005,1.1421052631578943,0.0231275052036871,0.2347672316384185,4.4715,1.4,1.7,0.3544365700587539,1.4,1.7,0.3544365700587539,1.1421052631578943,0.0231275052036871,0.2347672316384185
berlin_muggelsee_IOP_daily_v0.3,2023-01-10,2023-01-10 12:00:00,52.437300000000015,13.647400000000005,1.162922162276389,0.022130653304908,0.2504832700614949,4.663367472408588,1.435536085642792,1.727690944828946,0.3494443007738304,1.435536085642792,1.727690944828946,0.3494443007738304,1.162922162276389,0.022130653304908,0.2504832700614949
berlin_muggelsee_IOP_daily_v0.3,2023-01-11,2023-01-11 12:00:00,52.437300000000015,13.647400000000005,1.18953856746354,0.0209695583590154,0.2708876855107837,4.808820350076084,1.481395811333339,1.7731194971694255,0.3436183091434787,1.481395811333339,1.7731194971694255,0.3436183091434787,1.18953856746354,0.0209695583590154,0.2708876855107837
berlin_muggelsee_IOP_daily_v0.3,2023-01-12,2023-01-12 12:00:00,52.437300000000015,13.647400000000005,1.2261237560137388,0.0197948444917209,0.2946641586486071,4.912405323936851,1.5405827591540668,1.828676332120157,0.3376374163928796,1.5405827591540668,1.828676332120157,0.3376374163928796,1.2261237560137388,0.0197948444917209,0.2946641586486071
